id,created_at,title,image,price,category,isSale,quantity,rating,isPopular,isDiscount,discountPercent,isAvailable,description
58,2024-04-04 10:03:56.339277+00,قهوه فول کافئین ۱۰۰٪ روبوستا تیره سبا,/images/products/p1.png,450000,روبوستا,true,12,4,true,true,10,true,قهوه فول کافئین ۱۰۰٪ روبوستا تیره سبا، به طور کامل و ۱۰۰٪ از دانه‌های قهوه‌ی نژاد روبوستا تهیه شده. با توجه به ویژگی‌های قهوه‌ی روبوستا که دانه‌ی غالب در این ترکیب است، نوشیدنی حاصل از این ترکیب دارای تلخی زیاد، تن‌واری بالا و کرم غلیظ است
60,2024-04-04 10:03:56.720618+00,"قهوه لاوازا مدل کرما گوستو کلاسیک Classico ",/images/products/p2.png,420000,لاوازا,true,20,5,true,true,12,true,قهوه لاوازا کرما گوستو کلاسیک Crema E Gusto Classico (سرمه ای) قهوه ای با روست تیره می باشد و قهوه ای دارک محسوب می شود.عطر و طعم بالانس این قهوه و غلظت بالای آن و ماندگاری طعم قهوه با ته مزه ای از کاکائو و ترشی متوسط و کرم (فوم قهوه) خوب از ویژگی های این قهوه می باشد. این قهوه ترکیبی از قهوه های آمریکای جنوبی و آفریقا،۳۰ درصد عربیکا و ۷۰ درصد روبوستا می باشد.
62,2024-04-04 10:03:57.572705+00,قهوه برزیل صددرصد روبوستا دارک,/images/products/p3.png,335000,روبوستا,true,23,3,false,true,8,true,قهوه روبوستای برزیل با روست تیره، قهوه ای با ویژگی های عطری و طعمی شکلات تلخ و ادویه ای مانند است. درجه و شدت تلخی این قهوه پس از دم کشیدن نسبتا زیاد بوده و به همراه اسیدیته بسیار کم با بدنه ای پر می باشد. این ترکیب مناسب برای تهیه قهوه با فرنچ پرس و موکاپات و ماشین اسپرسو می باشد.
64,2024-04-04 10:03:57.780333+00,قهوه برزیل صددرصد روبوستا مدیوم,/images/products/p4.png,285000,روبوستا,true,17,4,true,false,0,true,قهوه روبوستای برزیل با روست متوسط، قهوه ای با ویژگی های عطری و طعمی شکلاتی ادویه ای و آجیلی مانند است. درجه و شدت تلخی این قهوه پس از دم کشیدن متوسط به همراه اسیدیته بسیار کم با بدنه ای پر می باشد. این ترکیب مناسب برای تهیه قهوه با فرنچ پرس و موکاپات و ماشین اسپرسو می باشد.
66,2024-04-04 10:03:58.050086+00,قهوه 30 عربیکا 70 تیره Verona,/images/products/p5.png,325000,عربیکا,false,0,5,false,false,0,false,قهوه 30 70 ترکیبی ورونا با درجه برشته کاری متوسط، قهوه ای با ویژگی های عطری طعمی شکلات تلخ و تست مانند، با ته عطر ادویه ای مانند است. ترکیبی از قهوه های مناطق آمریکای جنوبی و آفریقا و آسیای شرقی است. درجه و شدت تلخی این قهوه پس از دم کشیدن متوسط رو به زیاد است به همراه اسیدیته بسیار کم با بدنه ای پر می باشد. قهوه ورونا مناسب برای تهیه قهوه با دسنگاه فرانسه ساز و ماشین اسپرسو و موکاپات می باشد.
68,2024-04-04 10:03:59.557937+00,"قهوه آمورا ",/images/products/p6.png,265000,آموراآمورا,true,8,2,false,true,9,true,قهوه ترکیبی آمورا با ترکیبی از دانه های روست تیره و روست متوسط، قهوه ای با ویژگی های عطری طعمی شکلات تلخ و تست مانند، با ته عطر ادویه ای مانند است. قهوه آمورا ترکیبی از قهوه های مناطق آمریکای جنوبی و آسیای شرقی می باشد. درجه و شدت تلخی این قهوه پس از دم کشیدن زیاد بوده و به همراه اسیدیته بسیار کم با بدنه ای پر می باشد. این قهوه مناسب برای تهیه قهوه با دسنگاه فرانسه ساز و ماشین اسپرسو و موکاپات می باشد.
70,2024-04-04 10:03:59.745185+00,قهوه عربیکا بلِند ملو Arabica Blend,/images/products/p7.png,435000,عربیکا,true,4,5,true,true,6,true,قهوه ترکیبی آمورا با ترکیبی از دانه های روست تیره و روست متوسط، قهوه ای با ویژگی های عطری طعمی شکلات تلخ و تست مانند، با ته عطر ادویه ای مانند است. قهوه آمورا ترکیبی از قهوه های مناطق آمریکای جنوبی و آسیای شرقی می باشد. درجه و شدت تلخی این قهوه پس از دم کشیدن زیاد بوده و به همراه اسیدیته بسیار کم با بدنه ای پر می باشد. این قهوه مناسب برای تهیه قهوه با دسنگاه فرانسه ساز و ماشین اسپرسو و موکاپات می باشد.
72,2024-04-04 10:03:59.940343+00,قهوه اتیوپی ۱۰۰درصد عربیکا,/images/products/p8.png,455000,عربیکا,true,6,4,true,false,0,true,دان قهوه اتیوپی ملو با درجه برشته کاری متوسط، قهوه ای با ویژگی های عطری طعمی مطبوع و  طعمی مرکباتی و میوه ای مانند و عطری گلی مانند. درجه و شدت تلخی این قهوه پس از دم کشیدن ملایم است به همراه اسیدیته نسبتا ملایم با بدنه ای نرم و پر می باشد که بیشتر مناسب برای تهیه قهوه به روشهای دمی و یا استفاده در ترکیبات قهوه شما می باشد.
74,2024-04-04 10:04:00.626287+00,قهوه مکزیک ۱۰۰ درصد عربیکا,/images/products/p9.png,395000,عربیکا,true,4,3,false,true,10,true,دان قهوه مکزیک ملو با درجه برشته کاری متوسط، قهوه ای با ویژگی های عطری طعمی متعادل و شکلاتی و میوه ای  مانند می باشد. درجه و شدت تلخی این قهوه پس از دم کشیدن متوسط بوده و به همراه اسیدیته نسبتا کم با بدنه ای متوسط و نرم می باشد که بیشتر مناسب برای تهیه قهوه به روشهای مختلف دمی و قهوه سازهای فیلتری و ماشین اسپرسو یا استفاده در ترکیبات قهوه شما می باشد.
76,2024-04-04 10:04:01.18896+00,قهوه گواتمالا 100 درصد عربیکا ملو,/images/products/p10.png,345000,عربیکا,true,5,3,false,true,14,true,"قهوه گواتمالا ملو از سری قهوه های تک مبدا  (Single origin) و تماما عربیکا بوده؛ با درجه روست و برشته گی متوسط رو به تیره، قهوه ای متعادل و قوی با تلخی متوسط؛ به همراه عطر و طعمی خوب و متعادل برای دم آوری قهوه دوستان فراهم آورده است.
    این قهوه با خصیصه های طعمی شکلات دارک با طعم و  ته مزه ملایم آجیلی و کشمش و تست و ادویه مانند و همچنین خصیصه های عطری شکلاتی و آجیلی به همراه خصیصه عطری ظریف و بسیار ملایم مرکبات مانند و اسیدیته ملایم و نسبتا شیرین و بدنه body خوب ؛ قهوه ای با خصوصیات متعادل ایجاد نموده است."
78,2024-04-04 10:04:01.402445+00," قهوه اتیوپی یرگاچف کوچره ملو",/images/products/p11.png,295000,عربیکا,true,2,3,false,true,9,true,قهوه عربیکای اتیوپی با روست متوسط، قهوه ای با وِیژگی های عطری طعمی گلی و مرکباتی، میوه ا‌‌ی، بری مانند، میوه های قرمز، گیلاس، آلو شیرین، بدنه ای نرم مانند است. درجه و شدت تلخی این قهوه پس از دم کشیدن بسیار کم است به همراه اسیدیته خوب و متوسط رو به کم  و بدنه ای نرم و روان می باشد. این ترکیب مناسب برای افرادی است که  قهوه ای معطر و ملایم با عطر و طعمی خوب و دلچسب، با کافئین متوسط  و اسیدیته نسبتا کم می خواهند
80,2024-04-04 10:04:02.208189+00,"قهوه ۱۰۰ درصد روبوستا Full Charge ملو ",/images/products/p12.png,255000,روبوستا,true,5,4,true,false,0,true,قهوه ترکیبی فول شارژ با ترکیبی از دانه های روست متوسط، قهوه ای معطر و قوی و نسبتا غلیظ و خوشمزه برای شما فراهم می آورد. درجه و شدت تلخی این قهوه پس از دم کشیدن متوسط بوده و به همراه اسیدیته بسیار کم با بدنه ای پر می باشد. این ترکیب مناسب برای تهیه قهوه با دستگاه فرانسه ساز و ماشین اسپرسو و موکاپات می باشد.